Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
11,13.79,21.21212121
9,12,37.5
27,28,54.3
22,23.9,27.27272727
8,14.61,34.48275862
16,13.63,26.66666667
13,11.47,41.17647059
16,11.47,41.17647059
9,10.92,25
22,23.2,40
11,20.47,36.84210526
8,18.48,30.76923077
11,11.1,14.28571429
19,9.62,40
12,18.81,39.28571429
14,14.45,9.4
6,14.45,33.33333333
18,21.8,35
11,17.35,39.28571429
12,8.5,13.04347826
11,19.55,37.93103448
8,22.73,38.63636364
12,22.44,33.33333333
21,22.44,33.33333333
10,17.62,34.28571429
14,17.32,34.28571429
16,17.32,34.28571429
7,19.73,34.14634146
11,18.61,29.26829268
8,14.68,20.58823529
36,31.7,56.9
12,17.23,30.3030303
12,13.05,25
15,13.05,25
17,13.05,25
6,11.32,17.1
10,11.09,13.33333333
15,15.86,38.70967742
10,14.95,27.5862069
13,14.51,19.44444444
14,7.46,22.22222222
28,33.2,55.8
18,27.21,35.8490566
15,17.47,34.28571429
9,15.34,37.03703704
13,15.34,37.03703704
8,20.35,35.8974359
11,17.29,46.66666667
11,10.04,27.27272727
10,5,44.44444444
36,31.4,58.7
27,30.1,53.125
21,25.2,13.95348837
12,21.9,14.81481481
15,17.78,28.94736842
18,23.53,27.45098039
24,23.53,57.5
10,15.73,33.33333333
12,15.17,37.93103448
12,12.06,20
13,21.16,17.77777778
15,16.64,27.77777778
8,16.07,37.93103448
7,14.14,40.74074074
10,11.17,28
8,8.29,35.29411765
15,19.09,31.57894737
9,12.2,25.92592593
10,16.13,43.33333333
10,14.96,15
11,14.78,43.5
9,14.78,44.2
12,11.11,9.375
15,4.31,18.18181818
10,15.54,20.58823529
12,17.74,31.57894737
20,7.3,54.54545455
9,12.47,30.76923077
20,25.8,38.70967742
27,24.84,59.4
12,11.6,34.7826087
15,9.31,30
23,15.85,46.42857143
7,8.29,35.29411765
22,26.7,22.22222222
10,16.73,35.29411765
9,16.91,31.42857143
7,11.81,17.24137931
9,8.17,27.77777778
13,12.92,30.76923077
15,12.92,30.76923077
7,11.89,33.33333333
11,11.89,43.3
14,11.89,47.5
11,10.57,38.0952381
16,31.5,10.4
7,11.86,39.13043478
13,16.66,29.41176471
11,18.18,30.76923077
15,18.18,30.76923077
11,17.18,28.94736842
15,12.19,43.5
17,12.19,45.8
13,18.92,37.5
13,18.86,44.11764706
20,11.44,45
8,10.49,19.23076923
9,10.49,19.23076923
7,22.22,29.78723404
8,11.68,12.90322581
28,26.63,52.7
7,16.3,37.5
8,7.6,33.33333333
29,32.1,56.3
19,24.52,39.02439024
19,19.4,36.84210526
7,13.35,21.875
7,10.36,20.83333333
10,9.43,36.84210526
13,19.93,32.5
10,13.76,25
11,24.8,31.48148148
15,12.49,29.16666667
8,11.66,20
17,11.66,20
24,26.3,54.4
10,20.72,41.02564103
6,16.19,34.375
15,12.95,22.22222222
8,12.34,25
8,13.21,29.62962963
29,28.4,50
12,16.06,38.46153846
15,16.06,38.46153846
16,5.45,23.07692308
26,22.42,57.89473684
5,12.51,20
12,14.76,34.48275862
11,14.48,29.03225806
17,14.48,29.03225806
12,8.62,22.22222222
16,14.71,46.15384615
14,11.6,34.7826087
16,11.6,34.7826087
11,6.65,15.38461538
22,6.43,41.66666667
32,28.86,53.33333333
7,21.03,35.71428571
7,21.03,35.71428571
23,15.44,42.85714286
12,13.02,43.47826087
16,9.44,38.88888889
19,29.3,43.75
14,12.81,14.70588235
13,29.1,10
25,28.3,43.75
14,25.3,29.09090909
13,25.1,30.76923077
16,19.33,43.75
17,19.33,43.75
11,13.88,37.03703704
14,13.32,33.33333333
11,7.07,10
12,7.07,10
11,11.53,14.81481481
7,5.92,18.18181818
27,31.3,56.7
13,12.8,19.35483871
15,12.26,8
12,12.2,42.10526316
8,11.13,42.85714286
9,11.13,42.85714286
10,7.88,29.41176471
35,32.4,56
15,11.47,41.17647059
20,28.1,26.82926829
25,30.2,55
11,21.09,40.54054054
13,21.09,40.54054054
10,20.65,30.23255814
12,16.66,23.68421053
12,16.02,40
10,15.91,29.41176471
12,15.91,29.41176471
11,12.54,11.42857143
17,22.54,24.48979592
10,17.05,30.55555556
8,14.08,20.58823529
26,20.84,44.73684211
9,13.64,21.21212121
9,13.62,25.80645161
38,40.3,55.4
21,27.3,21.62162162
29,26.39,56.2
7,15.3,35.48387097
5,9.48,22.72727273
29,34.3,57.4
14,32.4,10.4
33,28.5,57.3
14,22.36,34.09090909
18,22.36,34.09090909
19,18.01,42.42424242
21,18.01,42.42424242
11,13.48,26.66666667
6,11.18,29.16666667
28,31.45,54.16666667
18,18.28,19.51219512
15,12.6,37.5
8,19.13,21.42857143
12,18.8,26.82926829
13,18.8,26.82926829
7,16.22,34.48275862
17,16.22,34.48275862
10,13.65,22
22,21.52,30.95238095
10,16.36,23.68421053
9,13.07,23.33333333
13,8.94,12.5
7,6.33,20
10,6.33,20
11,6.33,20
23,22.45,37.14285714
17,11.99,47.61904762
4,10.34,19.23076923
11,8.55,21.5
23,26.3,48.14814815
16,11.86,39.13043478
20,23,48.14814815
23,16.01,48.14814815
12,2.45,16.66666667
35.5,33.45,61.8
5,17.09,22.5
15,14.06,37.5
9,5.74,21.42857143
22,28.3,20.45454545
21,23.4,20.45454545
13,21.98,14
15,21.98,24.48979592
6,18.51,27.5
8,4.75,16.66666667
18,27.2,23.52941176
15,18.32,36.11111111
18,18.32,36.11111111
8,16.66,29.41176471
16,13.39,21.42857143
11,12.34,25
14,6.75,40
8,17.1,25.71428571
12,15.77,30.3030303
16,15.23,40.1
16,13.39,21.42857143
17,16.65,23.07692308
11,11.39,27.77777778
34,30.57,58
35,30.05,58.1
17,27.67,30.35714286
7,14.47,28.125
14,12.81,14.70588235
8,7.32,23.52941176
13,7.32,23.52941176
26,32.9,42.85714286
19,24.3,50
17,23.1,22.22222222
