SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
13,15.55,241.8025,8.108108108,65.74141709
13,17.27,298.2529,8.108108108,65.74141709
13,19.58,383.3764,8.108108108,65.74141709
13,13.66,186.5956,7.407407407,54.8696845
13,13.66,186.5956,7.407407407,54.8696845
13,24.01,576.4801,7.142857143,51.02040816
13,21.9,479.61,6.666666667,44.44444444
13,5.35,28.6225,6.25,39.0625
13,14.91,222.3081,6.060606061,36.73094582
13,18.1,327.61,3.225806452,10.40582726
13,20.17,406.8289,2.127659574,4.526935265
13,25.56,653.3136,2.040816327,4.164931279
13,25.15,632.5225,2,4
13,25.15,632.5225,2,4
13,27.72,768.3984,16.66666667,277.7777778
13,20.8,432.64,16.12903226,260.1456816
13,17.62,310.4644,5.714285714,32.65306122
13,26.57,705.9649,17.77777778,316.0493827
13,12.97,168.2209,12.12121212,146.9237833
13,30.27,916.2729,9.259259259,85.73388203
13,21.65,468.7225,15.90909091,253.0991736
14,27.17,738.2089,16.32653061,266.5556018
14,21.4,457.96,9.302325581,86.53326122
14,23.51,552.7201,6.666666667,44.44444444
14,21.4,457.96,9.302325581,86.53326122
14,31.42,987.2164,24,576
14,23.36,545.6896,20,400
14,20.77,431.3929,8.823529412,77.85467128
14,11.47,131.5609,8,64
14,15.51,240.5601,5.405405405,29.2184076
14,18.86,355.6996,11.76470588,138.4083045
14,24.1,580.81,26.08695652,680.5293006
14,15.54,241.4916,10.52631579,110.8033241
14,12.25,150.0625,2.941176471,8.650519031
14,25.08,629.0064,13.33333333,177.7777778
14,20.59,423.9481,16.21621622,262.9656684
14,26.55,704.9025,8.510638298,72.43096424
14,29.23,854.3929,26.41509434,697.757209
14,21.1,445.21,15.38461538,236.6863905
14,22.82,520.7524,13.95348837,194.6998378
14,15.11,228.3121,13.88888889,192.9012346
14,19.82,392.8324,12.5,156.25
14,23.28,541.9584,12.19512195,148.7209994
14,22.38,500.8644,12.12121212,146.9237833
14,25.54,652.2916,11.62790698,135.2082207
14,24.53,601.7209,11.32075472,128.1594874
14,23.96,574.0816,10,100
14,26.5,702.25,8.163265306,66.63890046
14,13.93,194.0449,7.692307692,59.17159763
14,23.2,538.24,6.52173913,42.53308129
14,24.13,582.2569,5.882352941,34.60207612
14,29.19,852.0561,4,16
14,31.55,995.4025,3.846153846,14.79289941
14,9.66,93.3156,3.703703704,13.71742112
14,10.24,104.8576,3.448275862,11.89060642
14,21.04,442.6816,3.448275862,11.89060642
14,11.09,122.9881,3.333333333,11.11111111
14,25.15,632.5225,2,4
14,15.94,254.0836,14.28571429,204.0816327
14,5.06,25.6036,6.666666667,44.44444444
14,6.92,47.8864,6.25,39.0625
14,23.16,536.3856,4.347826087,18.90359168
14,18.33,335.9889,9.677419355,93.65244537
14,27.11,734.9521,3.571428571,12.75510204
14,24.48,599.2704,10.20408163,104.123282
14,25.56,653.3136,2.040816327,4.164931279
14,26.44,699.0736,12.5,156.25
14,29.23,854.3929,26.41509434,697.757209
14,31.41,986.5881,13.33333333,177.7777778
14,24.22,586.6084,8.888888889,79.01234568
14,24.13,582.2569,5.882352941,34.60207612
14,25.17,633.5289,12.76595745,162.9696695
14,19.6,384.16,20,400
15,22.87,523.0369,14.63414634,214.1582391
15,21.42,458.8164,14.28571429,204.0816327
15,18.22,331.9684,12.82051282,164.365549
15,30.06,903.6036,12.30769231,151.4792899
15,35.06,1229.2036,12.30769231,151.4792899
15,23.82,567.3924,11.53846154,133.1360947
15,25.79,665.1241,11.32075472,128.1594874
15,13.1,171.61,11.11111111,123.4567901
15,21.57,465.2649,11.11111111,123.4567901
15,14.73,216.9729,10.71428571,114.7959184
15,30.02,901.2004,10.71428571,114.7959184
15,28.63,819.6769,10.52631579,110.8033241
15,31.42,987.2164,10,100
15,20.33,413.3089,9.756097561,95.18143962
15,20.91,437.2281,9.302325581,86.53326122
15,29.87,892.2169,8.928571429,79.71938776
15,21.19,449.0161,7.317073171,53.53955979
15,21.59,466.1281,7.142857143,51.02040816
15,23.6,556.96,6.666666667,44.44444444
15,15.51,240.5601,5.405405405,29.2184076
15,9.14,83.5396,5,25
15,8.21,67.4041,4.545454545,20.66115702
15,25.15,632.5225,2,4
15,27.35,748.0225,24.61538462,605.9171598
15,25.02,626.0004,22.91666667,525.1736111
15,23.85,568.8225,4.081632653,16.65972511
15,23.28,541.9584,15.2173913,231.5689981
15,23.94,573.1236,10.52631579,110.8033241
15,23.94,573.1236,10.52631579,110.8033241
15,5.06,25.6036,6.666666667,44.44444444
15,19.12,365.5744,5.882352941,34.60207612
15,19.24,370.1776,26.31578947,692.5207756
15,22.15,490.6225,7.142857143,51.02040816
15,23.17,536.8489,6.52173913,42.53308129
15,32.24,1039.4176,6.349206349,40.31242126
15,18.74,351.1876,2.564102564,6.574621959
15,20.82,433.4724,9.756097561,95.18143962
15,23.66,559.7956,22.43902439,503.5098156
15,20.3,412.09,16.66666667,277.7777778
15,22.53,507.6009,10.81081081,116.8736304
15,24.56,603.1936,9.090909091,82.6446281
15,24.22,586.6084,8.888888889,79.01234568
15,27.27,743.6529,6,36
15,15.86,251.5396,8.333333333,69.44444444
16,21.95,481.8025,27.77777778,771.6049383
16,15.94,254.0836,22.22222222,493.8271605
16,31.84,1013.7856,13.79310345,190.2497027
16,13.1,171.61,11.11111111,123.4567901
16,20.31,412.4961,6.818181818,46.48760331
16,21.19,449.0161,4.444444444,19.75308642
16,31.64,1001.0896,27.27272727,743.8016529
16,20.17,406.8289,26.47058824,700.6920415
16,25.56,653.3136,22.04081633,485.7975843
16,27.42,751.8564,19.60784314,384.4675125
16,21.57,465.2649,18.63157895,347.1357341
16,20.41,416.5681,17.77777778,316.0493827
16,13.56,183.8736,15.38461538,236.6863905
16,16.02,256.6404,13.33333333,177.7777778
16,29.31,859.0761,12.5,156.25
16,20.33,413.3089,9.756097561,95.18143962
16,19.14,366.3396,9.375,87.890625
16,26.01,676.5201,8.163265306,66.63890046
16,22.73,516.6529,6.818181818,46.48760331
16,12.25,150.0625,6.666666667,44.44444444
16,24.13,582.2569,5.882352941,34.60207612
16,9.31,86.6761,5,25
16,19.42,377.1364,4.651162791,21.63331531
16,14.43,208.2249,3.571428571,12.75510204
16,19.75,390.0625,2.857142857,8.163265306
16,25.45,647.7025,17.77777778,316.0493827
16,14.22,202.2084,13.04347826,170.1323251
16,27.28,744.1984,10.20408163,104.123282
16,19.13,365.9569,3.03030303,9.182736455
16,19.18,367.8724,16.66666667,277.7777778
16,10.7,114.49,5.263157895,27.70083102
16,27.11,734.9521,3.571428571,12.75510204
16,27.24,742.0176,14,196
16,24.53,601.7209,11.32075472,128.1594874
16,29.16,850.3056,10.41666667,108.5069444
16,18.81,353.8161,6.818181818,46.48760331
16,26.02,677.0404,3.846153846,14.79289941
16,27.74,769.5076,12.24489796,149.937526
16,19.03,362.1409,28.125,791.015625
16,21.78,474.3684,19.04761905,362.8117914
16,24.49,599.7601,14.58333333,212.6736111
16,17.7,313.29,4.651162791,21.63331531
16,13.58,184.4164,3.703703704,13.71742112
16,30.68,941.2624,18.36734694,337.3594336
16,17.62,310.4644,5.714285714,32.65306122
16,21.59,466.1281,18.42105263,339.3351801
16,13.41,179.8281,5.882352941,34.60207612
16,20.41,416.5681,17.77777778,316.0493827
17,21.66,469.1556,15.38461538,236.6863905
17,14.93,222.9049,5.714285714,32.65306122
17,15.03,225.9009,17.85714286,318.877551
17,28.54,814.5316,15.25423729,232.6917552
17,17.91,320.7681,13.88888889,192.9012346
17,23.25,540.5625,11.11111111,123.4567901
17,29.7,882.09,10.86956522,118.147448
17,17.61,310.1121,8.333333333,69.44444444
17,20.47,419.0209,7.142857143,51.02040816
17,17.12,293.0944,4.87804878,23.7953599
17,32.19,1036.1961,13.1147541,171.9967751
17,27.24,742.0176,14,196
17,22.59,510.3081,9.302325581,86.53326122
17,21.26,451.9876,8.108108108,65.74141709
17,26.55,704.9025,8.510638298,72.43096424
17,24.79,614.5441,13.63636364,185.9504132
17,20.84,434.3056,9.302325581,86.53326122
