SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
10,15.51,240.56,18.18,330.58
10,24.95,622.50,11.32,128.16
12,11.38,129.50,21.95,481.86
12,12.92,166.93,20.83,434.03
13,26.50,702.25,16.52,272.97
11,15.20,230.89,5.00,25.00
12,18.68,348.94,11.25,126.56
12,22.46,504.23,7.34,53.87
11,22.46,504.23,7.34,53.87
10,22.46,504.23,7.34,53.87
10,22.46,504.23,7.34,53.87
9,21.70,470.67,6.06,36.73
12,17.80,316.84,4.76,22.68
12,12.64,159.64,4.00,16.00
11,18.85,355.32,8.11,65.74
10,17.80,316.84,4.76,22.68
10,21.47,460.96,12.82,164.37
10,16.55,273.90,7.14,51.02
9,12.64,159.64,4.00,16.00
14,21.88,478.52,4.60,21.14
13,21.88,478.52,4.60,21.14
11,17.62,310.46,3.03,9.18
14,21.53,463.33,10.53,110.80
11,22.06,486.42,6.60,43.61
14,17.50,306.25,5.48,30.02
12,26.88,722.53,11.82,139.67
11,19.42,377.14,11.11,123.46
11,17.50,306.25,5.48,30.02
10,15.96,254.56,11.29,127.47
10,19.81,392.44,8.89,79.01
13,18.52,342.99,8.11,65.74
12,29.14,848.85,13.86,192.14
14,15.68,245.86,7.69,59.17
13,17.02,289.51,6.25,39.06
14,20.86,435.14,5.00,25.00
14,20.86,435.14,5.00,25.00
12,23.08,532.46,8.00,64.00
11,20.86,435.14,5.00,25.00
10,23.08,532.46,8.00,64.00
10,32.01,1024.64,19.70,387.97
20,24.82,615.78,20.69,428.06
13,16.66,277.56,8.33,69.44
14,23.17,536.85,7.07,49.99
12,24.56,602.95,9.82,96.46
10,11.16,124.55,9.09,82.64
9,11.16,124.55,9.09,82.64
29,18.14,329.06,28.36,804.19
9,20.47,418.82,4.71,22.15
14,20.73,429.53,11.58,134.07
14,20.73,429.53,11.58,134.07
12,20.73,429.53,11.58,134.07
10,20.73,429.53,11.58,134.07
10,9.71,94.19,6.25,39.06
10,17.50,306.08,7.79,60.72
14,14.68,215.50,8.82,77.85
10,19.69,387.50,8.75,76.56
10,21.31,454.12,2.97,8.82
13,15.11,228.16,13.04,170.13
14,22.25,495.06,5.13,26.30
12,18.00,324.00,3.90,15.18
10,21.00,441.00,9.20,84.56
10,21.00,441.00,9.20,84.56
10,19.17,367.49,11.96,142.96
14,27.75,770.06,10.28,105.69
13,22.20,492.84,10.68,114.05
13,32.67,1067.00,9.94,98.76
13,22.20,492.84,10.68,114.05
12,19.49,379.86,4.65,21.63
10,32.67,1067.00,9.94,98.76
9,14.63,214.04,12.90,166.49
10,28.49,811.68,16.67,277.78
14,10.12,102.41,12.50,156.25
11,16.61,275.89,13.21,174.44
10,26.56,705.43,12.38,153.29
9,22.54,508.05,10.11,102.26
12,19.93,397.20,10.45,109.16
12,20.40,415.96,23.61,557.48
11,19.93,397.20,10.45,109.16
10,19.33,373.65,5.78,33.40
12,20.34,413.72,16.47,271.28
14,14.80,219.04,2.70,7.30
12,13.02,169.39,19.23,369.82
12,12.01,144.12,11.36,129.13
13,26.08,679.91,6.60,43.61
12,14.85,220.37,4.41,19.46
10,14.85,220.37,4.41,19.46
13,19.46,378.50,3.19,10.19
12,20.42,416.77,1.90,3.63
12,19.06,363.09,20.83,434.03
12,19.06,363.09,20.83,434.03
12,25.04,626.75,20.22,409.04
10.5,19.06,363.09,20.83,434.03
10,25.26,638.07,5.36,28.70
14,23.99,575.52,4.85,23.56
11,22.07,486.86,4.40,19.32
13,22.15,490.40,9.57,91.67
12,21.08,444.16,7.00,49.00
28,12.29,151.04,25.58,654.41
11,17.79,316.48,19.40,376.48
14,22.28,496.40,5.15,26.57
11,29.20,852.64,14.41,207.56
14,21.88,478.73,6.59,43.47
12,21.23,450.50,6.32,39.89
9,21.23,450.50,6.32,39.89
9,18.83,354.57,1.20,1.45
13,26.86,721.46,13.16,173.13
13,15.06,226.65,6.25,39.06
14,30.86,952.03,13.91,193.57
14,19.23,369.60,18.18,330.58
9,18.14,329.06,28.36,804.19
10,9.63,92.74,13.64,185.95
11,20.73,429.53,11.58,134.07
9,25.63,656.64,7.62,58.05
8,25.63,656.64,7.62,58.05
8,14.68,215.50,8.82,77.85
10,21.49,461.82,6.06,36.73
11,15.11,228.16,13.04,170.13
11,16.03,256.96,14.93,222.77
10,18.00,324.00,3.90,15.18
6,18.00,324.00,3.90,15.18
9,15.47,239.32,6.33,40.06
11,19.17,367.49,8.96,80.22
9,22.20,492.84,10.68,114.05
7,25.31,640.60,6.45,41.62
27,26.46,700.13,23.08,532.54
14,18.64,347.26,2.35,5.54
12,20.82,433.47,8.89,79.01
10,23.27,541.49,9.80,96.12
7,14.85,220.37,4.41,19.46
12,19.93,397.20,10.45,109.16
30,37.00,1369.00,25.49,649.89
28,28.00,784.00,15.49,240.03
28,17.00,289.00,15.49,240.03
27,28.00,784.00,15.49,240.03
25,28.00,784.00,15.49,240.03
35,30.83,950.18,19.74,389.54
32,20.83,433.68,19.74,389.54
26,20.84,434.31,17.44,304.22
26,20.84,434.31,17.44,304.22
31,39.17,1534.29,11.96,142.96
31,25.44,647.19,19.83,393.30
31,25.44,647.19,16.83,283.31
25,38.09,1450.85,27.56,759.72
20,36.83,1356.45,10.79,116.32
37,32.67,1067.00,25.94,672.77
29,24.99,624.50,13.82,191.02
29,24.99,624.50,13.82,191.02
27,22.34,498.85,14.41,207.78
33,39.86,1588.82,19.08,364.01
35,26.87,721.73,24.74,611.91
30,26.87,721.73,14.74,217.17
35,39.33,1546.85,22.78,518.89
27,35.80,1281.64,27.72,768.64
29,25.04,626.75,20.22,409.04
30,23.15,535.69,11.46,131.29
28,23.15,535.69,11.46,131.29
12,19.93,397.20,10.45,109.16

