SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
28,25.4,644.65,33.3,50.0,16.7
25,14.0,194.60,71.4,17.9,7.1
12,16.0,256.64,60.0,26.7,13.3
10,17.1,290.70,69.4,22.2,8.3
26,20.8,434.31,55.3,39.5,5.3
9,13.6,185.50,74.2,22.6,3.2
5,9.5,89.87,77.3,13.6,9.1
6,11.2,124.99,70.8,20.8,8.3
6,11.2,124.99,70.8,20.8,8.3
8,15.9,251.22,41.7,37.5,16.7
8,19.1,365.96,76.2,16.7,4.8
10,13.7,186.32,47.6,33.3,14.3
17,12.0,143.76,52.4,38.1,9.5
4,10.3,106.92,80.8,19.2,0.0
5,17.1,292.07,77.5,15.0,7.5
18,7.2,51.41,76.5,23.5,0.0
14,6.8,45.56,50.0,40.0,0.0
8,17.1,292.41,71.4,20.0,5.7
11,11.4,129.73,61.1,22.2,5.6
7,14.5,209.38,71.9,25.0,3.1
8,7.3,53.58,76.5,17.6,5.9
13,7.3,53.58,76.5,17.6,5.9
14,14.3,204.49,45.5,45.5,4.5
19,14.3,204.49,45.5,45.5,4.5
12,5.2,27.04,93.8,6.3,0.0
8,11.4,129.28,82.1,7.1,10.7
13,14.9,222.31,56.0,28.0,12.0
7,11.1,122.54,82.1,14.3,3.6
8,16.9,285.95,68.6,20.0,11.4
13,16.4,269.29,82.9,7.3,9.8
22,10.8,116.21,63.2,21.1,10.5
9,15.8,248.69,69.7,18.2,12.1
11,14.4,205.92,69.0,10.3,20.7
17,14.4,205.92,69.0,10.3,20.7
6,10.0,99.00,89.3,7.1,3.6
18,10.0,99.00,89.3,7.1,3.6
9,13.6,184.96,69.0,27.6,3.4
14,14.6,214.04,71.0,16.1,12.9
5,10.6,113.21,80.8,11.5,7.7
14,8.2,66.42,62.5,31.3,6.3
15,8.2,66.42,62.5,31.3,6.3
15,8.2,66.42,62.5,31.3,6.3
13,14.9,220.82,63.3,36.7,0.0
23,14.9,220.82,63.3,36.7,0.0
12,11.1,122.10,76.9,19.2,3.8
10,10.6,112.78,75.0,16.7,8.3
7,5.9,35.16,94.4,0.0,5.6
6,14.2,201.07,71.0,25.8,3.2
13,12.9,166.15,72.4,27.6,0.0
8,11.2,124.99,70.8,20.8,8.3
13,8.9,78.68,68.4,31.6,0.0
6,7.4,54.17,90.5,4.8,4.8
6,6.2,38.69,94.7,0.0,5.3
13,16.6,275.23,61.5,19.2,7.7
8,15.8,248.38,70.6,23.5,5.9
6,17.8,316.13,64.7,29.4,2.9
22,20.9,438.06,71.1,20.0,8.9
29,25.4,644.14,71.0,19.4,6.5
23,15.4,236.54,71.0,19.4,6.5
21,11.0,121.22,50.0,22.2,27.8
22,11.0,121.22,50.0,22.2,27.8
23,13.9,193.77,74.2,16.1,9.7
23,13.9,193.77,74.2,16.1,9.7
11,7.4,54.46,74.7,21.0,4.3
29,17.7,312.58,58.6,24.1,10.3
11,7.2,51.70,84.2,15.8,0.0
17,18.4,340.03,60.0,31.4,8.6
9,11.1,122.10,76.9,19.2,3.8
23,21.6,466.13,47.1,38.2,11.8
8,8.5,72.08,80.0,15.0,0.0
34,27.5,755.15,71.1,23.7,5.3
31,19.4,375.58,50.0,50.0,0.0
10,17.5,305.55,71.1,23.7,5.3
19,17.5,305.55,71.1,23.7,5.3
10,6.1,36.60,88.2,11.8,0.0
31,29.3,855.56,64.5,29.0,0.0
11,6.8,45.70,82.4,11.8,5.9
20,20.4,417.79,68.4,15.8,10.5
21,20.4,417.79,68.4,15.8,10.5
22,20.4,417.79,68.4,15.8,10.5
21,13.2,174.77,69.2,23.1,3.8
9,8.3,69.06,73.7,26.3,0.0
15,17.2,294.12,60.6,33.3,6.1
16,17.2,294.12,60.6,33.3,6.1
15,11.5,131.79,78.6,21.4,0.0
9,5.2,27.04,93.8,6.3,0.0
13,18.4,338.56,69.4,13.9,13.9
9,9.7,93.70,93.1,3.4,3.4
13,11.3,128.14,72.0,24.0,4.0
13,9.5,90.06,84.0,16.0,0.0
18,18.3,336.36,68.4,26.3,2.6
19,18.3,336.36,68.4,26.3,2.6
12,12.0,143.04,87.9,9.1,3.0
12,9.7,93.70,93.1,3.4,3.4
19,16.7,277.89,69.7,18.2,9.1
10,22.1,490.18,78.8,9.6,11.5
12,21.0,439.74,77.6,14.3,8.2
12,22.1,486.20,54.1,13.5,32.4
13,10.7,114.49,68.3,15.0,12.5
17,12.9,166.41,71.4,21.4,7.1
11,11.1,123.21,71.4,4.8,9.5
12,8.5,72.25,87.0,8.7,4.3
10,17.6,310.46,65.7,20.0,14.3
8,14.7,215.50,79.4,2.9,17.6
21,27.2,740.38,64.2,20.8,15.1
22,27.2,740.38,64.2,20.8,15.1
8,20.4,414.12,64.1,15.4,20.5
